Route,Slot,Start Loading,selesai loading,ETA Dest. 1,ETA Origin
Siborong - Borong DC > Sidikalang Hub - Salak Hub,2,23:35,0:15,3:35,10:25
Siborong - Borong DC > Batang Toru Hub - Angkola Barat Hub - Padang Sidempuan Selatan Hub - Padang Sidempuan Batunadua Hub,2,0:26,1:00,7:06,15:30
Siborong - Borong DC > Panyabungan Hub - Muara Sipongi Hub,2,0:56,1:36,9:51,19:11
Siborong - Borong DC > Angkola Timur Hub - Halongonan Hub - Silangkitang Hub,2,2:15,2:55,6:22,18:58
Siborong - Borong DC > Pahae Jae Hub - Sayur Mattinggi Hub - Siabu Hub,2,2:28,3:08,5:31,17:31
Siborong - Borong DC > Parilitan Hub - Pakkat Hub - Barus Hub - Sirandorung Hub,2,2:30,3:10,6:10,17:50
Siborong - Borong DC > Gunung Meriah Hub - Singkil Kab. Aceh Singkil Hub,2,2:30,3:10,10:13,19:34
Siborong - Borong DC > Sipirok Hub - Padang Sidempuan Hub - Padang Sidempuan Tenggara Hub - Angkola Selatan Hub,2,2:45,3:25,6:35,16:43
Siborong - Borong DC > Siborong - Borong Hub - Lintong Nihuta Hub - Pangururan Hub - Palipi Hub,2,4:02,4:42,5:12,16:10
Siborong - Borong DC > Dolok Sanggul Hub - Sumbul Hub - Siempat Nempu Hub,2,4:25,5:05,6:45,18:00
Siborong - Borong DC > Laguboti Hub - Siantar Narumonda Hub - Porsea Hub - Lumban Julu Hub,2,4:53,5:33,8:50,14:50
Siborong - Borong DC > Medan DC,1,5:20,6:00,14:00,
Siborong - Borong DC > Kota Pinang Hub - Kampung Rakyat Hub,1,11:25,12:05,21:13,6:37
Medan DC > Paranginan DC - Siborong - Borong DC,2,13:20,14:00,22:00,
Siborong - Borong DC > Batang Natal Hub - Ranto Baek Baik Hub - Sinunukan Hub,1,13:50,14:30,0:30,14:20
Siborong - Borong DC > Simpang Kiri Hub - Rundeng Hub - Sultan Daulat 2 Hub - Sultan Daulat Hub,1,15:20,16:00,0:11,11:22
Siborong - Borong DC > Ulu Barumun Hub - Sosa Hub - Huta Raja Tinggi Hub,1,15:40,16:20,1:40,12:02
Siborong - Borong DC > Natal Hub - Muara Batang Gadis Hub,1,16:10,16:50,2:20,13:30
Siborong - Borong DC > Gunung Meriah Hub - Singkil Kab. Aceh Singkil Hub,1,16:30,17:10,0:13,9:34
Siborong - Borong DC > Batang Toru Hub - Angkola Barat Hub - Padang Sidempuan Selatan Hub - Padang Sidempuan Batunadua Hub,1,17:25,18:05,0:12,9:36
Siborong - Borong DC > Kota Pinang Hub - Kampung Rakyat Hub,1,17:25,18:05,3:05,12:29
Siborong - Borong DC > Pollung Hub - Simpang Onan Hub - Singkohon Hub,1,17:30,18:10,20:01,10:01
Siborong - Borong DC > Panyabungan Hub - Muara Sipongi Hub,1,17:56,18:36,2:51,12:11
Siborong - Borong DC > Barumun Tengah Hub - Huristak Hub - Simangambat Hub,1,18:20,19:00,1:00,11:35
Siborong - Borong DC > Pahae Julu Hub - Padang Bolak Hub - Sosa 2 Hub,1,18:53,19:33,21:17,13:40
Siborong - Borong DC > Pandan Hub - Muara Batang Toru Hub,1,19:05,19:45,2:45,12:30
Siborong - Borong DC > Angkola Timur Hub - Halongonan Hub - Silangkitang Hub,1,19:14,19:54,23:21,11:57
Siborong - Borong DC > Sidikalang Hub - Salak Hub,1,19:20,20:00,23:20,6:25
Siborong - Borong DC > Sipahutar Hub - Pangaribuan Hub - Garoga Hub,1,19:21,20:01,23:31,7:35
Siborong - Borong DC > Pahae Jae Hub - Sayur Mattinggi Hub - Siabu Hub,1,19:28,20:08,22:31,10:31
Siborong - Borong DC > Parilitan Hub - Pakkat Hub - Barus Hub - Sirandorung Hub,1,19:30,20:10,22:50,10:50
Siborong - Borong DC > Sipirok Hub - Padang Sidempuan Hub - Padang Sidempuan Tenggara Hub - Angkola Selatan Hub,1,19:45,20:25,23:35,9:43
Siborong - Borong DC > Tapian Nauli Hub - Sorkam Hub - Pinang Sori Hub,1,19:55,20:35,0:10,9:29
Siborong - Borong DC > Balige Hub - Habinsaran Hub,1,20:19,20:59,22:38,8:43
Siborong - Borong DC > Siborong - Borong Hub - Lintong Nihuta Hub - Pangururan Hub - Palipi Hub,1,21:02,21:42,22:12,9:10
Siborong - Borong DC > Dolok Sanggul Hub - Sumbul Hub - Siempat Nempu Hub,1,21:25,22:05,23:45,11:15
Siborong - Borong DC > Batang Natal Hub - Ranto Baek Baik Hub - Sinunukan Hub,2,21:35,22:15,7:45,21:35
Siborong - Borong DC > Laguboti Hub - Siantar Narumonda Hub - Porsea Hub - Lumban Julu Hub,1,21:53,22:33,1:50,7:50
Siborong - Borong DC > Simpang Kiri Hub - Rundeng Hub - Sultan Daulat 2 Hub - Sultan Daulat Hub,1,22:20,23:00,7:11,18:22
Siborong - Borong DC > Barumun Hub,1,22:20,23:00,5:00,11:30
Siborong - Borong DC > Ulu Barumun Hub - Sosa Hub - Huta Raja Tinggi Hub,1,22:40,23:20,8:40,19:02
Siborong - Borong DC > Sipoholon Hub - Tarutung Hub,1,23:02,23:42,23:52,2:42
